Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company_Name,Sector
2021-03-10 00:00:00-05:00,213.98831138521507,217.35248181660435,212.70856266845405,216.36358642578125,7822900,0.0,0.0,Visa Inc.,Financial Services
2021-03-11 00:00:00-05:00,217.68209837198097,221.26924977287229,216.98405634015828,219.252685546875,10053400,0.0,0.0,Visa Inc.,Financial Services
2021-03-12 00:00:00-05:00,218.40921220881432,219.63077830041874,216.60593952497175,217.51727294921875,8172400,0.0,0.0,Visa Inc.,Financial Services
2021-03-15 00:00:00-04:00,217.391238330707,220.16401220644832,214.97718993934066,216.4605255126953,9306100,0.0,0.0,Visa Inc.,Financial Services
2021-03-16 00:00:00-04:00,216.88712707642253,218.700089646007,215.5201267891565,217.846923828125,8949300,0.0,0.0,Visa Inc.,Financial Services
2021-03-17 00:00:00-04:00,218.18624109732127,219.33994985566932,214.99657396619273,216.21815490722656,8675600,0.0,0.0,Visa Inc.,Financial Services
2021-03-18 00:00:00-04:00,214.6766199364965,215.73338737093076,212.88305179037425,213.93011474609375,9321800,0.0,0.0,Visa Inc.,Financial Services
2021-03-19 00:00:00-04:00,212.43710415250476,213.45508339966304,200.57041860034903,200.5897979736328,32209700,0.0,0.0,Visa Inc.,Financial Services
2021-03-22 00:00:00-04:00,200.25046106347648,205.8153880736466,199.94021360149782,201.65623474121094,11371600,0.0,0.0,Visa Inc.,Financial Services
2021-03-23 00:00:00-04:00,202.67421087979403,203.55646044412472,201.17148119411922,201.80165100097656,8820700,0.0,0.0,Visa Inc.,Financial Services
2021-03-24 00:00:00-04:00,202.38335949799634,204.70046659105125,201.58836147601622,201.72410583496094,10101600,0.0,0.0,Visa Inc.,Financial Services
2021-03-25 00:00:00-04:00,201.33634390147623,202.45127933181035,199.50398693878068,201.627197265625,8390800,0.0,0.0,Visa Inc.,Financial Services
2021-03-26 00:00:00-04:00,201.89861326740748,207.18239154429438,201.36538467944712,207.017578125,7399900,0.0,0.0,Visa Inc.,Financial Services
2021-03-29 00:00:00-04:00,205.97051192569702,208.72389158201656,204.6810736487401,207.96768188476562,7792300,0.0,0.0,Visa Inc.,Financial Services
2021-03-30 00:00:00-04:00,206.51344857662434,207.61867937049675,204.9622555079587,205.4373016357422,5498000,0.0,0.0,Visa Inc.,Financial Services
2021-03-31 00:00:00-04:00,206.06747424728832,207.57989368796493,205.09797308855576,205.27247619628906,13180000,0.0,0.0,Visa Inc.,Financial Services
2021-04-01 00:00:00-04:00,207.2599521747024,211.099183191702,205.82509463208828,210.2460174560547,6138400,0.0,0.0,Visa Inc.,Financial Services
2021-04-05 00:00:00-04:00,211.93297473207548,213.78471083782728,210.6823098614367,212.3595428466797,10440500,0.0,0.0,Visa Inc.,Financial Services
